"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3328477,3335192,5,"186.22(b)(1)","PC","Enhancement",2023-06-27,"TRUE","Hispanic","Male",2021-10-07,40000,"Arraignment Letter",NA,2021-10-07,"N","11370.1(a)","HS","Felony",2023-06-27,"Guilty",NA,0
3328482,3335198,1,"186.22(b)(1)","PC","Enhancement",2022-02-23,"Dismissed/Not True","Hispanic","Male",2021-10-06,NA,"In Custody",NA,2021-10-06,"N","22210","PC","Felony",2022-02-23,"Guilty",NA,0
3329222,3335994,1,"186.22(b)(1)","PC","Enhancement",2022-04-28,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"In Custody",NA,2021-10-11,"N","626.9(b)","PC","Felony",2022-04-28,"Guilty",NA,1
3329222,3335994,2,"186.22(b)(1)","PC","Enhancement",2022-04-28,"Dismissed/Not True","Hispanic","Male",NA,1e+05,"In Custody",NA,2021-10-11,"N","29800(a)(1)","PC","Felony",2022-04-28,"Guilty",NA,1
3330363,3337272,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-10-14,NA,"In Custody",NA,2020-08-13,"N","187(a)","PC","Felony",NA,NA,NA,0
3330363,3337272,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-10-14,NA,"In Custody",NA,2020-08-13,"N","246","PC","Felony",NA,NA,NA,0
3331357,3338355,1,"186.22(b)(1)","PC","Enhancement",2021-11-12,"Dismissed/Not True","Hispanic","Male",2021-10-19,NA,"In Custody",NA,2021-10-15,"N","594(a)/(b)(1)","PC","Felony",2021-11-12,"Guilty",NA,0
3331748,3338781,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","187(a)","PC","Felony",NA,NA,NA,0
3331748,3338781,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","182(a)(1)","PC","Felony",NA,NA,NA,0
3331748,3338781,3,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","246","PC","Felony",NA,NA,NA,0
