"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2582606,2630986,1,"186.22(b)(1)","PC","Enhancement",2014-07-02,"True","Hispanic","Male",2014-04-04,1e+06,"In Custody",NA,2014-03-01,"N","422(a)","PC","Felony",2014-07-02,"Guilty",1
2582693,2631077,1,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11378","HS","Felony",2015-12-18,"Guilty",1
2582693,2631077,2,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11379(a)","HS","Felony",2015-12-18,"Dismissed/Not Guilty",1
2582693,2631077,3,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11370.1(a)","HS","Felony",2015-12-18,"Dismissed/Not Guilty",1
2582693,2631077,4,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","25400(a)(1)/(c)(1)","PC","Felony",2015-12-18,"Dismissed/Not Guilty",1
2582693,2631077,5,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","25850(a)/(c)(1)","PC","Felony",2015-12-18,"Dismissed/Not Guilty",1
2582693,2631077,6,"186.22(b)(1)","PC","Enhancement",2015-12-18,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","29800(a)(1)","PC","Felony",2015-12-18,"Dismissed/Not Guilty",1
2582693,2631078,1,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11378","HS","Felony",2016-11-16,"Guilty",1
2582693,2631078,2,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11379(a)","HS","Felony",2016-11-16,"Dismissed/Not Guilty",1
2582693,2631078,3,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","11370.1(a)","HS","Felony",2016-11-16,"Dismissed/Not Guilty",1
2582693,2631078,4,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","25400(a)(1)/(c)(1)","PC","Felony",2016-11-16,"Dismissed/Not Guilty",1
2582693,2631078,5,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","25850(a)/(c)(1)","PC","Felony",2016-11-16,"Dismissed/Not Guilty",1
2582693,2631078,6,"186.22(b)(1)","PC","Enhancement",2016-11-16,"Dismissed/Not True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","29800(a)(1)","PC","Felony",2016-11-16,"Guilty",1
2582802,2631194,1,"186.22(b)(1)","PC","Enhancement",2014-09-11,"True","Hispanic","Male",2014-04-06,1e+05,"In Custody",NA,2014-04-06,"N","25850(a)/(c)(4)","PC","Felony",2014-09-11,"Guilty",1
2582979,2631383,1,"186.22(b)(1)","PC","Enhancement",2014-09-12,"True","Hispanic","Male",2014-04-04,50000,"In Custody",NA,2014-04-04,"N","211/212.5(c)","PC","Felony",2014-09-12,"Guilty",0
2582979,2631383,2,"186.22(b)(1)","PC","Enhancement",2014-09-12,"Dismissed/Not True","Hispanic","Male",2014-04-04,50000,"In Custody",NA,2014-04-04,"N","245(a)(1)","PC","Felony",2014-09-12,"Dismissed/Not Guilty",0
2583180,2631594,1,"186.22(b)(1)","PC","Enhancement",2015-08-07,"True","Hispanic","Male",2014-04-07,1e+05,"In Custody",NA,2014-04-07,"N","11378","HS","Felony",2015-08-07,"Guilty",1
